City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
319,Olafsvik,IS,64.8945,-23.7142,56.77,86,100,12.19,overcast clouds
320,Palmares Do Sul,BR,-30.2578,-50.5097,67.5,70,100,5.95,overcast clouds
321,Banyo,CM,6.75,11.8167,64.56,97,99,2.73,moderate rain
322,San Miguel De Cauri,PE,-10.1,-76.5833,58.93,32,1,11.72,clear sky
323,Jumla,NP,29.2747,82.1838,63.45,93,95,2.19,moderate rain
324,Walvis Bay,NA,-22.9575,14.5053,57.09,76,95,5.75,overcast clouds
325,Tazmalt,DZ,36.3868,4.3989,101.44,9,0,14.43,clear sky
326,Yabrud,SY,33.9674,36.6574,69.46,52,0,4.63,clear sky
327,Sayville,US,40.7359,-73.0821,79.11,88,90,1.01,overcast clouds
328,Fasa,IR,28.9383,53.6482,81.64,30,20,0.0,few clouds
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,68.36,52,1,6.91,clear sky
330,Le Port,RE,-20.9373,55.2919,69.8,84,11,2.1,few clouds
331,Gat,IL,31.61,34.7642,83.08,100,0,6.69,clear sky
332,Faya,SA,18.3851,42.4509,79.32,49,96,2.13,overcast clouds
333,Mehamn,NO,71.0357,27.8492,62.78,63,0,8.05,clear sky
334,Shu,KZ,43.5983,73.7614,72.16,24,0,5.35,clear sky
335,Sao Felix Do Xingu,BR,-6.6447,-51.995,98.51,19,1,4.05,clear sky
336,Simnas,LT,54.4,23.65,60.57,71,68,4.32,broken clouds
337,Coxim,BR,-18.5067,-54.76,96.78,17,85,4.85,overcast clouds
338,Tanout,NE,14.9709,8.8879,89.98,40,100,7.43,overcast clouds
339,Mubi,NG,10.2676,13.2644,73.99,85,100,3.15,light rain
340,Sika,GM,13.3546,-16.345,82.54,80,92,10.04,overcast clouds
341,Derzhavinsk,KZ,51.1,66.3167,69.69,65,100,12.26,overcast clouds
342,Mbala,ZM,-8.8402,31.3659,62.65,39,2,4.0,clear sky
343,Velykyy Burluk,UA,50.0379,37.3987,70.2,84,100,13.31,light rain
344,Harlingen,US,26.1906,-97.6961,95.34,53,20,18.41,few clouds
